Kalman: Yes, Frame: 35, Points: [[-3, -21, -229], [17, -21, -229], [-3, -1, -229], [17, -1, -229], [-3, -21, -209], [17, -21, -209], [-3, -1, -209], [17, -1, -209]]
Kalman: No, Frame: 35, Points: [[-7, -22, -228], [13, -22, -228], [-7, -2, -228], [13, -2, -228], [-7, -22, -208], [13, -22, -208], [-7, -2, -208], [13, -2, -208]]
Kalman: Yes, Frame: 36, Points: [[-3, -21, -228], [17, -21, -228], [-3, -1, -228], [17, -1, -228], [-3, -21, -208], [17, -21, -208], [-3, -1, -208], [17, -1, -208]]
Kalman: No, Frame: 36, Points: [[-7, -21, -221], [13, -21, -221], [-7, -1, -221], [13, -1, -221], [-7, -21, -201], [13, -21, -201], [-7, -1, -201], [13, -1, -201]]
Kalman: Yes, Frame: 37, Points: [[-4, -21, -228], [16, -21, -228], [-4, -1, -228], [16, -1, -228], [-4, -21, -208], [16, -21, -208], [-4, -1, -208], [16, -1, -208]]
Kalman: No, Frame: 37, Points: [[-7, -22, -229], [13, -22, -229], [-7, -2, -229], [13, -2, -229], [-7, -22, -209], [13, -22, -209], [-7, -2, -209], [13, -2, -209]]
Kalman: Yes, Frame: 38, Points: [[-4, -21, -229], [16, -21, -229], [-4, -1, -229], [16, -1, -229], [-4, -21, -209], [16, -21, -209], [-4, -1, -209], [16, -1, -209]]
Kalman: No, Frame: 38, Points: [[-7, -22, -230], [13, -22, -230], [-7, -2, -230], [13, -2, -230], [-7, -22, -210], [13, -22, -210], [-7, -2, -210], [13, -2, -210]]
Kalman: Yes, Frame: 39, Points: [[-4, -22, -230], [16, -22, -230], [-4, -2, -230], [16, -2, -230], [-4, -22, -210], [16, -22, -210], [-4, -2, -210], [16, -2, -210]]
Kalman: No, Frame: 39, Points: [[-7, -22, -234], [13, -22, -234], [-7, -2, -234], [13, -2, -234], [-7, -22, -214], [13, -22, -214], [-7, -2, -214], [13, -2, -214]]
Kalman: Yes, Frame: 40, Points: [[-5, -22, -230], [15, -22, -230], [-5, -2, -230], [15, -2, -230], [-5, -22, -210], [15, -22, -210], [-5, -2, -210], [15, -2, -210]]
Kalman: No, Frame: 40, Points: [[-7, -22, -230], [13, -22, -230], [-7, -2, -230], [13, -2, -230], [-7, -22, -210], [13, -22, -210], [-7, -2, -210], [13, -2, -210]]
Kalman: Yes, Frame: 41, Points: [[-5, -22, -231], [15, -22, -231], [-5, -2, -231], [15, -2, -231], [-5, -22, -211], [15, -22, -211], [-5, -2, -211], [15, -2, -211]]
Kalman: No, Frame: 41, Points: [[-7, -22, -232], [13, -22, -232], [-7, -2, -232], [13, -2, -232], [-7, -22, -212], [13, -22, -212], [-7, -2, -212], [13, -2, -212]]
Kalman: Yes, Frame: 42, Points: [[-60, 213, 3593], [-40, 213, 3593], [-60, 233, 3593], [-40, 233, 3593], [-60, 213, 3613], [-40, 213, 3613], [-60, 233, 3613], [-40, 233, 3613]]
Kalman: No, Frame: 42, Points: [[-59, 213, 3593], [-39, 213, 3593], [-59, 233, 3593], [-39, 233, 3593], [-59, 213, 3613], [-39, 213, 3613], [-59, 233, 3613], [-39, 233, 3613]]
Kalman: Yes, Frame: 43, Points: [[-5, -22, -230], [15, -22, -230], [-5, -2, -230], [15, -2, -230], [-5, -22, -210], [15, -22, -210], [-5, -2, -210], [15, -2, -210]]
Kalman: No, Frame: 43, Points: [[-8, -21, -223], [12, -21, -223], [-8, -1, -223], [12, -1, -223], [-8, -21, -203], [12, -21, -203], [-8, -1, -203], [12, -1, -203]]
Kalman: Yes, Frame: 44, Points: [[-5, -22, -232], [15, -22, -232], [-5, -2, -232], [15, -2, -232], [-5, -22, -212], [15, -22, -212], [-5, -2, -212], [15, -2, -212]]
Kalman: No, Frame: 44, Points: [[-7, -23, -240], [13, -23, -240], [-7, -3, -240], [13, -3, -240], [-7, -23, -220], [13, -23, -220], [-7, -3, -220], [13, -3, -220]]
Kalman: Yes, Frame: 45, Points: [[-72, 216, 3593], [-52, 216, 3593], [-72, 236, 3593], [-52, 236, 3593], [-72, 216, 3613], [-52, 216, 3613], [-72, 236, 3613], [-52, 236, 3613]]
Kalman: No, Frame: 45, Points: [[-75, 218, 3593], [-55, 218, 3593], [-75, 238, 3593], [-55, 238, 3593], [-75, 218, 3613], [-55, 218, 3613], [-75, 238, 3613], [-55, 238, 3613]]
Kalman: Yes, Frame: 46, Points: [[-6, -22, -234], [14, -22, -234], [-6, -2, -234], [14, -2, -234], [-6, -22, -214], [14, -22, -214], [-6, -2, -214], [14, -2, -214]]
Kalman: No, Frame: 46, Points: [[-7, -23, -245], [13, -23, -245], [-7, -3, -245], [13, -3, -245], [-7, -23, -225], [13, -23, -225], [-7, -3, -225], [13, -3, -225]]
Kalman: Yes, Frame: 47, Points: [[-6, -22, -235], [14, -22, -235], [-6, -2, -235], [14, -2, -235], [-6, -22, -215], [14, -22, -215], [-6, -2, -215], [14, -2, -215]]
Kalman: No, Frame: 47, Points: [[-7, -23, -242], [13, -23, -242], [-7, -3, -242], [13, -3, -242], [-7, -23, -222], [13, -23, -222], [-7, -3, -222], [13, -3, -222]]
Kalman: Yes, Frame: 48, Points: [[-6, -22, -237], [14, -22, -237], [-6, -2, -237], [14, -2, -237], [-6, -22, -217], [14, -22, -217], [-6, -2, -217], [14, -2, -217]]
Kalman: No, Frame: 48, Points: [[-7, -23, -243], [13, -23, -243], [-7, -3, -243], [13, -3, -243], [-7, -23, -223], [13, -23, -223], [-7, -3, -223], [13, -3, -223]]
